Name;Symbol;Date;High;Low;Open;Close;Volume;Marketcap
Polkadot;DOT;07/12/2020 23:59;515.435.519;501.877.917;51.349.856;506.032.011;24.290.096.248.837.100;4.483.466.813.143.200
Polkadot;DOT;08/12/2020 23:59;506.721.193;471.273.972;506.063.351;473.334.726;3.985.054.169.468.420;41.949.356.162.585.100
Polkadot;DOT;09/12/2020 23:59;493.630.341;462.830.856;473.314.939;48.618.969;4.775.994.661.852.010;430.988.679.919.167
Polkadot;DOT;10/12/2020 23:59;491.251.239;474.941.748;486.369.986;47.975.962;29.912.144.943.061.400;4.253.982.260.623.600
Polkadot;DOT;11/12/2020 23:59;480.492.402;454.607.415;479.805.994;462.105.182;3.660.390.754.070.100;4.098.623.897.765.760
Polkadot;DOT;12/12/2020 23:59;479.778.252;461.532.501;461.978.559;474.045.424;28.278.241.699.745.200;4.205.469.339.999.480
Polkadot;DOT;13/12/2020 23:59;499.499.977;473.516.407;474.072.494;489.121.198;28.095.320.361.598.900;4.339.944.731.179.010
Polkadot;DOT;14/12/2020 23:59;500.222.486;483.501.587;489.150.508;489.808.222;2.043.857.566.846.620;4.348.029.101.381.820
Polkadot;DOT;15/12/2020 23:59;528.255.265;485.438.298;489.790.732;524.960.699;35.403.304.173.801.500;4.672.343.779.188.280
Polkadot;DOT;16/12/2020 23:59;53.618.897;512.476.712;52.488.246;535.931.366;5.084.818.783.957.170;4.771.216.325.541.670
Polkadot;DOT;17/12/2020 23:59;572.620.804;529.248.414;535.930.384;534.396.751;863.948.411.767.563;4.758.675.487.440.690
Polkadot;DOT;18/12/2020 23:59;550.385.148;525.878.558;534.419.463;536.764.091;607.402.855.875.982;4.785.926.664.190.390
Polkadot;DOT;19/12/2020 23:59;556.725.355;528.772.665;536.705.971;533.894.511;5.176.486.313.336.420;4.761.254.336.880.270
Polkadot;DOT;20/12/2020 23:59;542.929.049;509.057.437;533.888.153;518.847.554;51.941.555.521.013.000;4.628.079.243.349.630
Polkadot;DOT;21/12/2020 23:59;54.122.789;480.644.287;518.823.768;489.054.553;6.653.753.576.891.290;4.365.028.372.702.470
Polkadot;DOT;22/12/2020 23:59;517.323.987;481.480.669;488.816.092;515.482.991;6.972.605.318.412.650;4.603.028.363.423.780
Polkadot;DOT;23/12/2020 23:59;518.418.968;461.913.329;515.447.351;471.061.346;6.654.412.948.844.070;4.207.716.404.036.380
Polkadot;DOT;24/12/2020 23:59;519.615.572;465.531.234;471.197.661;512.882.058;6.465.110.510.962.750;4.582.660.903.824.900
Polkadot;DOT;25/12/2020 23:59;527.200.599;50.434.508;512.784.582;521.421.049;512.565.394.404.066;46.598.222.243.737.300
Polkadot;DOT;26/12/2020 23:59;527.387.414;50.939.321;521.489.519;518.218.102;48.493.451.756.381.800;4.632.413.801.459.900
Polkadot;DOT;27/12/2020 23:59;53.944.387;495.218.462;518.195.938;513.619.073;7.841.798.807.288.810;4.592.307.413.217.550
Polkadot;DOT;28/12/2020 23:59;66.447.538;512.208.394;513.639.127;65.888.218;17.466.286.773.318.200;5.892.566.077.358.180
Polkadot;DOT;29/12/2020 23:59;760.713.593;619.806.569;658.275.357;751.925.703;27.179.838.322.605.800;6.727.781.086.981.850
Polkadot;DOT;30/12/2020 23:59;76.514.477;708.811.299;751.916.021;725.430.008;20.590.176.285.913.200;6.492.175.417.387
Polkadot;DOT;31/12/2020 23:59;943.012.996;716.996.048;72.505.681;929.250.771;27.512.920.665.350.600;8.318.279.231.475.740
Polkadot;DOT;01/01/2021 23:59;941.658.697;812.019.359;928.818.018;830.681.869;27.912.111.234.473.200;7.442.884.317.763.640
Polkadot;DOT;02/01/2021 23:59;976.133.483;794.329.035;830.549.192;920.883.657;3.049.232.406.883.660;8.254.057.307.292.170
Polkadot;DOT;03/01/2021 23:59;1.045.749.316;887.336.163;920.964.777;1.003.328.252;30.328.830.742.550.500;8.995.148.461.427.730
Polkadot;DOT;04/01/2021 23:59;1.050.556.452;877.720.999;1.006.204.809;946.961.118;28.932.626.297.120.000;8.492.158.902.707.610
Polkadot;DOT;05/01/2021 23:59;10.041.344;908.426.331;94.758.016;970.165.565;2.080.742.171.360.190;8.704.252.438.124.620
Polkadot;DOT;06/01/2021 23:59;103.715.982;948.974.265;970.711.269;1.009.606.799;238.248.417.469.563;9.059.681.059.621.870
Polkadot;DOT;07/01/2021 23:59;1.062.900.489;949.640.177;1.009.401.413;964.458.538;2.521.342.760.533.070;865.877.189.986.489
Polkadot;DOT;08/01/2021 23:59;979.544.873;886.168.449;964.512.594;930.713.511;2.350.202.787.537.620;835.762.097.868.856
Polkadot;DOT;09/01/2021 23:59;982.315.065;905.346.608;930.577.328;977.776.543;1.478.813.229.686.370;878.385.893.766.941
Polkadot;DOT;10/01/2021 23:59;999.455.295;875.295.111;977.731.794;930.504.759;1.603.968.712.263.800;8.361.125.118.441.090
Polkadot;DOT;11/01/2021 23:59;93.046.542;722.859.045;93.046.542;827.643.995;32.510.432.991.020.300;7.438.402.688.140.330
Polkadot;DOT;12/01/2021 23:59;861.610.415;797.365.285;827.225.943;826.414.763;19.187.900.894.787.700;743.105.643.233.662
Polkadot;DOT;13/01/2021 23:59;112.997.456;798.951.889;826.511.159;1.095.771.005;29.157.113.726.512.600;9.857.235.821.227.510
Polkadot;DOT;14/01/2021 23:59;1.454.970.333;1.092.501.202;1.094.787.585;145.390.503;5.405.054.868.565.230;13.082.749.822.921.900
Polkadot;DOT;15/01/2021 23:59;1.485.537.724;1.185.157.894;1.452.252.001;1.321.238.089;6.159.630.996.159.850;11.892.435.979.896.900
Polkadot;DOT;16/01/2021 23:59;1.932.206.214;1.318.575.448;1.319.804.993;1.818.042.437;8.917.081.506.397.530;1.637.701.783.768.020
Polkadot;DOT;17/01/2021 23:59;1.815.034.209;1.640.896.057;1.815.034.209;1.698.425.436;6.091.648.732.196.550;15.306.722.569.889.800
Polkadot;DOT;18/01/2021 23:59;1.810.170.615;1.582.463.038;169.970.155;1.651.292.725;38.881.797.515.181.700;14.889.926.542.950.600
Polkadot;DOT;19/01/2021 23:59;1.746.754.468;160.483.279;1.652.107.766;1.646.850.969;34.144.226.021.691.800;14.857.593.596.490.400
Polkadot;DOT;20/01/2021 23:59;1.812.574.402;1.483.346.915;1.645.249.684;1.794.893.082;4.624.508.717.299.130;16.197.751.625.083.600
Polkadot;DOT;21/01/2021 23:59;1.806.077.054;1.505.248.231;1.797.941.492;1.594.483.794;4.843.725.549.435.250;14.394.680.975.864.600
Polkadot;DOT;22/01/2021 23:59;1.798.386.443;1.489.192.568;1.593.100.806;1.716.144.057;2.991.599.975.687.070;15.498.857.927.951.400
Polkadot;DOT;23/01/2021 23:59;1.875.369.846;1.687.032.158;1.715.959.053;1.859.819.899;28.423.171.832.164.500;16.800.498.069.750.500
Polkadot;DOT;24/01/2021 23:59;187.245.281;173.805.254;1.860.063.423;1.799.964.968;2.800.444.853.836.650;16.268.654.954.280.100
Polkadot;DOT;25/01/2021 23:59;1.905.194.556;1.711.970.836;1.799.759.425;1.725.045.506;3.351.498.659.024.200;1.559.855.088.444.240
Polkadot;DOT;26/01/2021 23:59;1.776.909.839;1.607.543.158;1.724.464.759;1.711.776.161;2.588.253.411.126.770;15.487.077.234.508.600
Polkadot;DOT;27/01/2021 23:59;1.711.611.272;1.508.426.589;1.711.611.272;1.550.486.144;2.973.163.193.749.800;1.403.129.590.680.860
Polkadot;DOT;28/01/2021 23:59;1.746.306.249;1.535.657.055;1.549.823.697;169.449.327;2960951224.55;15338599024.46
Polkadot;DOT;29/01/2021 23:59;1.764.278.951;1.603.200.117;1.710.266.916;168.416.124;3657663582.56;15249211491.11
Polkadot;DOT;30/01/2021 23:59;1.705.015.533;1.616.195.006;1.683.674.926;1.650.690.794;1998709419.61;14948992533.58
Polkadot;DOT;31/01/2021 23:59;1.745.610.132;1.581.397.223;165.115.788;1.612.131.511;2540474629.04;14603207739.23
Polkadot;DOT;01/02/2021 23:59;1.651.658.306;1.574.336.417;1.612.302.274;1.637.577.622;2228986207.72;14839696019.15
Polkadot;DOT;02/02/2021 23:59;1.760.391.837;1.603.933.267;1.638.133.508;1.726.325.602;2658383685.86;15648346886.93
Polkadot;DOT;03/02/2021 23:59;2.073.365.167;1.684.036.612;1.724.720.261;2.073.365.167;4685307861.7;18799060618.55
Polkadot;DOT;04/02/2021 23:59;2.155.594.943;1.904.331.279;2.072.829.497;197.021.819;4858842246.09;17871050304.44
Polkadot;DOT;05/02/2021 23:59;2.128.348.923;1.953.170.913;1.968.862.863;2.090.267.541;3387079061.07;18965454795.63
Polkadot;DOT;06/02/2021 23:59;2.129.830.738;198.142.053;2.089.211.182;2.039.547.912;2622835075.63;18510385437.79
Polkadot;DOT;07/02/2021 23:59;2.077.747.875;1.862.379.262;2.039.062.077;19.793.615;3038407999.38;17972785450.44
Polkadot;DOT;08/02/2021 23:59;236.081.695;1.923.323.489;1.978.141.947;2.303.189.853;4736654530.67;20918997055.81
Polkadot;DOT;09/02/2021 23:59;2.405.441.205;2.236.963.602;2.303.005.688;2.312.996.524;3446396914.48;21013455489.63
Polkadot;DOT;10/02/2021 23:59;2.478.626.906;2.213.630.506;2.311.301.609;2.358.505.148;4203061885.09;21431620371.36
Polkadot;DOT;11/02/2021 23:59;2.557.770.797;2.333.355.038;2.359.052.511;2.523.029.476;4060334812.05;22891907598.05
Polkadot;DOT;12/02/2021 23:59;2.966.852.868;2.454.988.143;2.517.412.377;286.912.576;4562466560.12;26041864560.26
Polkadot;DOT;13/02/2021 23:59;3.014.641.266;2.747.308.229;2.868.711.701;2.801.672.488;4947621076.43;26570627680.92
Polkadot;DOT;14/02/2021 23:59;2.937.290.487;2.654.398.832;2.801.349.437;2.709.573.509;3550653217.48;24608750492.51
Polkadot;DOT;15/02/2021 23:59;2.944.811.054;2.361.261.123;2.706.463.405;2.778.089.328;5407907535.43;25240366452.94
Polkadot;DOT;16/02/2021 23:59;3.097.385.946;269.609.095;2.776.352.835;3.015.991.114;5274752208.18;27409464567.6
Polkadot;DOT;17/02/2021 23:59;3.234.794.671;2.973.283.891;3.016.430.944;3.198.665.846;4292546900.12;29077428853.21
Polkadot;DOT;18/02/2021 23:59;3.257.830.012;3.062.994.653;319.813.541;3.118.063.869;1992921510.93;29226703998.93
Polkadot;DOT;19/02/2021 23:59;3.498.970.105;2.962.764.461;3.118.814.584;3.479.221.729;3466759116.14;31650533003.03
Polkadot;DOT;20/02/2021 23:59;4.206.305.045;3.479.711.355;3.479.711.355;3.924.217.734;6056666197.8;35712761350.45
Polkadot;DOT;21/02/2021 23:59;4.047.464.646;3.815.454.567;3.917.120.107;3.969.622.868;3721239426.56;36134675189.95
Polkadot;DOT;22/02/2021 23:59;3.969.625.153;3.136.259.827;3.969.625.153;3.768.948.023;5770512363.01;34365198828.32
Polkadot;DOT;23/02/2021 23:59;3.771.416.818;2.675.764.262;3.766.492.985;3.430.077.361;7502138161.95;31292320713.93
Polkadot;DOT;24/02/2021 23:59;3.675.256.913;3.197.544.502;3.433.086.055;3.363.354.631;4724242061.86;30706882058.91
Polkadot;DOT;25/02/2021 23:59;3.507.918.133;3.105.927.338;3.362.117.186;3.108.065.968;3470266685.26;28386405741.51
Polkadot;DOT;26/02/2021 23:59;3.349.775.173;2.810.401.053;3.114.372.953;3.134.609.002;5147313877.8;28635864215.63
Polkadot;DOT;27/02/2021 23:59;3.552.410.967;3.139.625.235;3.139.625.235;3.344.936.632;4507278635.87;30567858010.02
Polkadot;DOT;28/02/2021 23:59;34.608.173;2.996.314.875;3.345.447.512;3.360.725.607;4567616883.15;30723422512.26
Polkadot;DOT;01/03/2021 23:59;3.558.492.774;3.319.071.209;3.364.315.864;3.558.492.774;3311498739.4;32539365963.27
Polkadot;DOT;02/03/2021 23:59;3.775.641.828;3.459.242.598;355.887.829;3.615.311.759;3752858101.24;33066586008.22
Polkadot;DOT;03/03/2021 23:59;3.854.848.952;3.615.744.733;3.615.830.936;3.704.332;2683665083.79;33889450251.91
Polkadot;DOT;04/03/2021 23:59;3.827.611.019;3.445.174.108;3.703.825.299;3.533.031.248;2868268909.18;32332933420.6
